,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,7.3,['Kenny Mumba'],"['Andrew Thompson', 'Lawrence Thompson']","Rejected by his father at birth, a boy with albinism navigates a childhood of bullying, tragedy and cautious hope in this coming-of-age drama.",1h 49m,Can You See Us?
1,6.8,DESCONOCIDO,DESCONOCIDO,,1h 54m,"Vengeance Is Mine, All Others Pay Cash"
2,--,DESCONOCIDO,DESCONOCIDO,,--,Love One Another
3,,DESCONOCIDO,DESCONOCIDO,,2h 20m,Simone: Woman of the Century
4,,DESCONOCIDO,DESCONOCIDO,,1h 44m,Demonic
5,,DESCONOCIDO,DESCONOCIDO,,1h 28m,Together Alone
6,,DESCONOCIDO,DESCONOCIDO,,1h 30m,Run
7,,DESCONOCIDO,DESCONOCIDO,,1h 53m,Because of Charley
8,,DESCONOCIDO,DESCONOCIDO,,1h 40m,Wolka
9,,DESCONOCIDO,DESCONOCIDO,,1h 45m,The House of the Lost on the Cape
10,,DESCONOCIDO,DESCONOCIDO,,1h 48m,Hula Fulla Dance
11,--,DESCONOCIDO,DESCONOCIDO,,--,Cradled in Wake
12,,DESCONOCIDO,DESCONOCIDO,,--,Padri
13,--,DESCONOCIDO,DESCONOCIDO,,2h 5m,2020: The Movie
14,--,DESCONOCIDO,DESCONOCIDO,,--,Vargmötet 2
15,,DESCONOCIDO,DESCONOCIDO,,1h 54m,The Generation of Evil
16,--,DESCONOCIDO,DESCONOCIDO,,--,Prem Anubandh
17,,DESCONOCIDO,DESCONOCIDO,,1h 20m,Outlaw's Buckle
18,,DESCONOCIDO,DESCONOCIDO,,1h 10m,Fear of a Black Planet
19,,DESCONOCIDO,DESCONOCIDO,,1h 37m,Sword Art Online: Progressive - Aria of a Starless Night
20,,DESCONOCIDO,DESCONOCIDO,,1h 33m,Sunny
21,,DESCONOCIDO,DESCONOCIDO,,2h 18m,The Youngest Evangelist
22,,DESCONOCIDO,DESCONOCIDO,,--,The Choice
23,,DESCONOCIDO,DESCONOCIDO,,1h 42m,Paranoia
24,,DESCONOCIDO,DESCONOCIDO,,1h 27m,Zeros and Ones
25,--,DESCONOCIDO,DESCONOCIDO,,1h 20m,Astro
26,--,DESCONOCIDO,DESCONOCIDO,,--,Terezin - Children of the Holocaust
27,,DESCONOCIDO,DESCONOCIDO,,1h 48m,Time Is Up
28,,DESCONOCIDO,DESCONOCIDO,,2h 24m,Jayanti
29,,DESCONOCIDO,DESCONOCIDO,,1h 13m,Stranded
30,,DESCONOCIDO,DESCONOCIDO,,1h 57m,Out of This World
31,,DESCONOCIDO,DESCONOCIDO,,1h 42m,The Ambush
32,--,DESCONOCIDO,DESCONOCIDO,,--,Why I Am
33,,DESCONOCIDO,DESCONOCIDO,,1h 33m,Foscadh
34,,DESCONOCIDO,DESCONOCIDO,,1h 37m,Toofan Mail 8 Down
35,,DESCONOCIDO,DESCONOCIDO,,--,The Incomplete Man
36,--,DESCONOCIDO,DESCONOCIDO,,--,Enga Pattan Sothu
37,,DESCONOCIDO,DESCONOCIDO,,1h 57m,Ghost Lab
38,--,DESCONOCIDO,DESCONOCIDO,,--,Kuriiri
39,,DESCONOCIDO,DESCONOCIDO,,1h 38m,Hinterland
40,,DESCONOCIDO,DESCONOCIDO,,1h 15m,The Cabin
41,,DESCONOCIDO,DESCONOCIDO,,2h 31m,Kodiyil Oruvan
42,,DESCONOCIDO,DESCONOCIDO,,2h 10m,Red Rocket
43,,DESCONOCIDO,DESCONOCIDO,,1h 25m,Losgelassen
44,,DESCONOCIDO,DESCONOCIDO,,1h 45m,Akyn
45,--,DESCONOCIDO,DESCONOCIDO,,1h 44m,Life After
46,,DESCONOCIDO,DESCONOCIDO,,1h 27m,Liam White: The Forgettable Life of Liam White
47,,DESCONOCIDO,DESCONOCIDO,,1h 55m,Tina and Lori
48,,DESCONOCIDO,DESCONOCIDO,,1h 20m,Kinnerasani
49,,DESCONOCIDO,DESCONOCIDO,,1h 54m,The Young Lovers
50,,DESCONOCIDO,DESCONOCIDO,,2h 56m,The Battle at Lake Changjin
51,,DESCONOCIDO,DESCONOCIDO,,--,Tuesday 12
52,,DESCONOCIDO,DESCONOCIDO,,1h 40m,Glob Lessons
53,,DESCONOCIDO,DESCONOCIDO,,1h 22m,Adit Sopo Jarwo: The Movie
54,,DESCONOCIDO,DESCONOCIDO,,2h 16m,Saani Kaayidham
55,,DESCONOCIDO,DESCONOCIDO,,1h 29m,Never Back Down: Revolt
56,,DESCONOCIDO,DESCONOCIDO,,1h 59m,Rabiye Kurnaz vs. George W. Bush
57,,DESCONOCIDO,DESCONOCIDO,,1h 52m,The Colour Room
58,--,DESCONOCIDO,DESCONOCIDO,,--,In the Shadow of the Mountain
59,,DESCONOCIDO,DESCONOCIDO,,1h 22m,Have a Nice Life
60,,DESCONOCIDO,DESCONOCIDO,,--,Deception
61,--,DESCONOCIDO,DESCONOCIDO,,1h 40m,Intangible
62,,DESCONOCIDO,DESCONOCIDO,,2h 40m,Leave No Traces
63,--,DESCONOCIDO,DESCONOCIDO,,--,Home Safe
64,,DESCONOCIDO,DESCONOCIDO,,1h 24m,Qamar 14
65,--,DESCONOCIDO,DESCONOCIDO,,--,Broken
66,,DESCONOCIDO,DESCONOCIDO,,1h 55m,Zero Fucks Given
67,,DESCONOCIDO,DESCONOCIDO,,2h 10m,Gaali Sampath
68,,DESCONOCIDO,DESCONOCIDO,,2h 18m,Antim: The Final Truth
69,,DESCONOCIDO,DESCONOCIDO,,1h 50m,Mission Stories
70,--,DESCONOCIDO,DESCONOCIDO,,--,Animal Investigator
71,,DESCONOCIDO,DESCONOCIDO,,--,Pocket Full of Game 2
72,--,DESCONOCIDO,DESCONOCIDO,,--,From the Ashes
73,,DESCONOCIDO,DESCONOCIDO,,1h 28m,The Rebels of PT-218
74,,DESCONOCIDO,DESCONOCIDO,,1h 29m,Suedi
75,--,DESCONOCIDO,DESCONOCIDO,,1h 54m,King of the Night
76,--,DESCONOCIDO,DESCONOCIDO,,1h 18m,Zwyciestwo. Powstanie Wielkopolskie 1918-1919
77,,DESCONOCIDO,DESCONOCIDO,,1h 40m,No Man of God
78,--,DESCONOCIDO,DESCONOCIDO,,--,Mehak Sugandh
79,,DESCONOCIDO,DESCONOCIDO,,1h 43m,Dhamaka
80,,DESCONOCIDO,DESCONOCIDO,,1h 42m,Rose
81,,DESCONOCIDO,DESCONOCIDO,,1h 46m,Aatkal Thevai
82,,DESCONOCIDO,DESCONOCIDO,,1h 31m,Deadly Seduction
83,,DESCONOCIDO,DESCONOCIDO,,1h 2m,The Walk
84,,DESCONOCIDO,DESCONOCIDO,,1h 30m,The Labyrinth Prisoner
85,,DESCONOCIDO,DESCONOCIDO,,--,The Higher Spirit
86,--,DESCONOCIDO,DESCONOCIDO,,--,Privacy
87,,DESCONOCIDO,DESCONOCIDO,,1h 41m,Barra el-Manhag
88,--,DESCONOCIDO,DESCONOCIDO,,1h 15m,El viaje
89,--,DESCONOCIDO,DESCONOCIDO,,--,Hope Actually
90,,DESCONOCIDO,DESCONOCIDO,,1h 16m,Barely Dreaming
91,,DESCONOCIDO,DESCONOCIDO,,2h 2m,Asakusa Kid
92,,DESCONOCIDO,DESCONOCIDO,,1h 10m,Tokyo 7th Sisters: Bokura wa Aozora ni Naru
93,,DESCONOCIDO,DESCONOCIDO,,1h 48m,Thirike
94,,DESCONOCIDO,DESCONOCIDO,,1h 48m,Malibú
