,Puntuacion_IMDB,Dirección,Guionistas,Argumento,Duración,Nombre de la película
0,--,DESCONOCIDO,DESCONOCIDO,,--,Ox King
1,--,['Chengcheng Yang'],DESCONOCIDO,,--,Zai jian tu bo shu
2,--,['Ping Wang'],DESCONOCIDO,,--,Xing an ling shang
3,--,['Amaia San Sebastian'],['Amaia San Sebastian'],,--,Rewind
4,--,['Najib Bel-Qadhi'],['Najib Bel-Qadhi'],"The film tells the story of a couple around the time of the quarantine imposed by the Covid-19 pandemic, where a person with schizophrenia deteriorates and his medicine disappears from pharmacies, and then his life and the lives of those close to him turn into hell.",--,Qurban
5,--,['Edgard Leroy'],"['David Akande', 'Abe Samuel']",Youthful exuberance leads to a huge disaster for two promising young men who finds themselves caught in the web of an age-long secret covered in the holy of holies.,--,Aláisè
6,--,['Kevin Johns Nabukenya'],['Kevin Johns Nabukenya'],"A pair of jobless young men run a variety of money-making schemes, but their luck only lasts so long.",1h 35m,Men in Suits
7,--,['T. Steve Ayeny'],['Grace Gashumba'],"Goretti and her husband, Tom are trying make ends meet after losing his job due to the Covid break out. Goretti goes out of her way and she discovers an alternative clean energy source briquettes, out of dust.",--,Beautiful Ashes
8,--,['Jayaraj'],DESCONOCIDO,An 8-year-old boy tries to help a blind man reach his home.,1h 30m,Niraye Thathakalulla Maram
9,--,['Awdhesh Mishra'],['Awdhesh Mishra'],,--,Babul
10,--,DESCONOCIDO,['Yazhou Huang'],,--,The Red Boat
11,--,['Mayanja Ibra Hamis'],['Daisy Snither'],,--,Modernity Meets Crafts
12,--,['Agaba Collin'],DESCONOCIDO,,--,A Faded Rose
13,--,['Richard Mulindwa'],['Richard Mulindwa'],,--,Monica
14,5.4,DESCONOCIDO,['Sergey Kudryavtsev'],,1h 10m,...i budet doch
15,4.9,DESCONOCIDO,DESCONOCIDO,"The stories of five women from different backgrounds who live distinct experiences, but have one thing in common: they were born Saudis.",1h 10m,Becoming
16,--,['Lorenzo Muscoso'],DESCONOCIDO,,--,Don Gesualdo
17,--,['Gabriele Camilli'],"['Gabriele Camilli', 'Teresa Debenedettis', 'Matteo La Porta']","Lele and Filomena find themselves, lonely and isolated, and have to deal with the end of their love story. To move forward you must first of all forgive yourself.",--,I pezzi che restano
18,--,['Kateregga Meddie'],['Ssesimba Taddeo'],,1h 53m,Mess
19,6.4,['César González'],"['Nadine Cifre', 'César González']",,--,"Reloj, soldad"
20,--,['Emilio Francesco Guido'],DESCONOCIDO,,--,When Max Met Loralie
21,--,['Emilson Ching America Joseph'],['Emilson Ching America Joseph'],,1h 29m,Stay Focused
22,--,DESCONOCIDO,"['Francis Levy', 'Alberto Trujillo']",Un paciente con insuficiencia renal crónica tiene una mala notica que da un vuelco a su vida.,--,El Cartero
23,--,['Milja Sarkola'],"['Pajtim Statovci', 'Tuomas Timonen']","A gripping story of forbidden love between a married family man, Albanian Arsim, and Serb Milos in the wartime conditions of Kosovo in the late 1990s",2h 45m,Bolla
24,--,['Aydin Aslan'],['Aydin Aslan'],"Peyyami is a man in his early 30s, who is overwhelmed by the spiritual burden of his father and has difficulty in continuing his life. In fact, while he was aware of all the details of life and the art of living life with his intelligence and talents, he was on the side of living inconspicuously, not the popular one. One day, he meets a woman named Asli and falls in l... Read all",--,Peyyami
25,--,DESCONOCIDO,"['Yael Kipper Zaretzky', 'Ronen Zaretsky']","The events on which the plot axis is based occurred in a town in the Galilee Mountains called Maalot in November 1961. In Maalot, like many other places in young Israel, immigrants from North Africa were sent to do workfare jobs. The work mainly consisted of digging pits intended for planting tree seedlings that will grow to become forests. The aim was to provide immi... Read all",1h 25m,These Woods
26,--,['Mariano Asseff'],['Mariano Asseff'],"Ivi begins a journey to her childhood house, where she meet whit his little sister called Lu. While they preparing for Christmas, the past appears in a fragmented way. The relationship between sisters and magic makes Christmas come true.",--,Stay for Christmas
27,--,['Alain Chia'],"['Louis Njuh', 'Mariana Njuh']",,1h 35m,Tsakendze
28,--,['Roméo Meupa'],"['Jean-Marie Bollo', 'Roméo Meupa']",,--,Akapzut
29,--,['Joseph Thomas'],['Joseph Thomas'],"A recent art school graduate moves to Chicago and falls in love, but the affection is unrequited, pushing him to obsession and a downward spiral of dysfunction.",1h 31m,Wound
30,--,['Tissy Nnachi'],"['Christian Nwaru', 'Juliet Nwaru']",,--,Payback
31,--,['Angelo Faraci'],"['Angelo Faraci', 'Rosaria Lo Porto']","What I didn't tell you Revolution is a Sicilian, Italian TV drama famous and remembered by critics which for five seasons featured Angelo Faraci as the protagonist in the role of a young man torn between good and evil; Faraci later became famous from this series for Prime Video and Sky.",--,"Ciò che non ti ho detto, Revolution"
32,--,['Chris Onyenso'],DESCONOCIDO,,--,The Ploy
33,--,['Melchy Obiang'],DESCONOCIDO,,--,Le silence des femmes
34,--,['Julio Lolo Bibas'],"['Julio Lolo Bibas', 'Guyguy Diangikulua']",,1h 15m,Adjani
35,--,['Doux-Doux Maloba'],['Doux-Doux Maloba'],,--,Le défi de Mariana
36,--,['Marcus Onalundula'],DESCONOCIDO,,--,Aboula Ngando
37,--,['Sady Masonga'],['Kayson Kasika Assumani'],,--,Briser le silence
38,--,['Chivas Tshongo'],DESCONOCIDO,,--,Triple K
39,--,['Malvin Success Kanteh'],['Malvin Success Kanteh'],,--,Long Lost
40,9.4,['Alebachew Aragie'],DESCONOCIDO,Family's life turned upside down after welcoming an uncle when he sexually assaults the young daughter. It evolves around how society's perception and pressure has divided the family apart in bringing the man forward to the authorities.,1h 45m,Kerbe
41,--,DESCONOCIDO,DESCONOCIDO,,--,Halkie Fulkee
42,--,DESCONOCIDO,['Jules Bertrand Longning'],,--,Loque
43,--,['Joselito Altarejos'],['Joselito Altarejos'],,1h 28m,Love and Pain in Between Refrains
44,--,['Robert Savo'],['Philip Dorr'],"In Noah's generation, the wickedness of man was great upon the earth, and God was sorry He had made man. This is the remarkable story of Noah and his family and the faithfulness of God through it all.",--,Noah
45,--,['Willard Kaula'],DESCONOCIDO,,1h 7m,Sowing Seeds
46,--,['Ian Chisekula'],DESCONOCIDO,,--,Atsikana
47,--,['Chaz Munthali'],['Chaz Munthali'],A young budget director in the Malawi government faces an ethical predicament due to his position. Based on a real-life 2013 scandal.,--,Highbrow
48,--,['Adeoye Omoniyi'],['Seyi Obembe'],"Fate plays her games with a brilliant doctor with lofty aspirations, leading him on the scenic route to what may be his greatest achievements yet.",--,Patrick Syndrome
49,--,['Ashukile Mwakisulu'],DESCONOCIDO,A couple's inability to have children causes tension in their marriage and leads to frustration and infidelity.,1h 27m,All We Have Is Us
50,--,['Valentino Molosen'],['Rhonnex Namilonje'],,--,Special Secrets
51,--,['Papyking Kashindi'],"['Papyking Kashindi', 'Raphael Ndabaga']",,1h 48m,The Power of Elders
52,--,['Robert Savo'],['Philip Dorr'],,--,Isaac and Jacob
53,--,DESCONOCIDO,['Antonio Hall'],The comedic adventure of a troubled kid from the east side who sets out to become one of Detroit's most successful and menacing kleptomaniacs.,--,UNK Baby
54,--,['Naresh Kumar'],['Naresh Kumar'],,--,I Love You Radha
55,--,['Chimfwembe Chola Kenwise'],"[""D'Nice Chipampe"", 'Chimfwembe Chola Kenwise']","Even though the couple was in deep love, marital challenges found their way into their marriage. A highly imagined lifestyle by Patience resulted Mabvuto to be invalid. On the fateful day, life turned against Mabvuto.",--,Broken
56,--,['Andronicus Emeka Titus'],DESCONOCIDO,A father races against time to save his sickly daughter but an evil maid has other plans.,--,Royal Glory
57,--,['Raphael Nyirenda'],DESCONOCIDO,"A man infiltrates a crime syndicate to avenge the death of his father, but falls in love with a police officer who is investigating a murder linked to the gang.",1h 33m,Goon Land
58,--,['Kenneth Pelete'],['Isaac I. Zulu'],,--,Was I Wrong?
59,--,['Shaun Wilson'],DESCONOCIDO,,--,In the Journey of Midnight
60,--,['Nahid Ahmed Piyal'],['Nahid Ahmed Piyal'],,--,Tomarei Jeno Valobashiyachi
61,--,['Manoj M Khade'],['Rajesh Gujral'],,--,Kuch Toh Gadbad Hai
62,--,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,--,Error nombre para la pelicula con id: tt24295648
63,--,['Céline Ters'],"['Patrick Boudet', 'Alain Robbe-Grillet']",,--,La Japonaise
64,--,['Adama Mbadinga'],DESCONOCIDO,,--,Le lien
65,--,DESCONOCIDO,['Dinesh Gopal'],,--,Kakkapponnu
66,--,['Irène Tassembedo'],['Irène Tassembedo'],A man returns to Burkina Faso from Italy and offers to train young people in the skills they will need in order to migrate to Europe. But his aim is not what it seems.,1h 52m,La traversée
